666.625,153.449,8.594,90.000,84.851,-0.000,1 ,8
666.625,153.449,8.594,90.000,84.851,-0.000,1 ,8
666.625,153.449,8.594,90.000,84.851,-0.000,1 ,8
666.622,153.449,8.592,90.000,84.847,-0.000,1 ,8
666.476,153.449,8.473,90.000,84.653,-0.000,1 ,8
664.587,153.449,6.854,90.000,82.081,-0.000,1 ,8
661.367,153.449,3.722,90.000,77.439,0.000,1 ,8
658.109,153.449,-0.039,90.000,72.296,0.000,1 ,8
656.696,153.449,-1.906,90.000,69.876,0.000,1 ,8
653.960,153.449,-6.066,90.000,64.729,0.000,1 ,8
651.724,153.449,-10.217,90.000,59.857,0.000,1 ,8
649.839,153.449,-14.564,90.000,54.963,0.000,1 ,8
648.945,153.449,-17.076,90.000,52.208,0.000,1 ,8
647.588,153.449,-21.925,90.000,47.006,0.000,1 ,8
646.717,153.449,-26.584,90.000,42.110,0.000,1 ,8
646.232,153.449,-31.597,90.000,36.908,0.000,1 ,8
646.161,153.449,-33.966,90.000,34.459,0.000,1 ,8
646.347,153.449,-38.998,90.000,29.257,0.000,1 ,8
646.938,153.449,-43.701,90.000,24.361,0.000,1 ,8
648.002,153.449,-48.617,90.000,19.162,0.000,1 ,8
648.708,153.449,-50.817,90.000,16.665,0.000,1 ,8
649.741,153.449,-51.739,90.000,14.310,0.000,1 ,8
650.394,153.449,-49.569,90.000,14.109,0.000,1 ,8
651.017,153.449,-47.089,90.000,14.109,-0.000,1 ,8
651.368,153.449,-45.694,90.000,14.109,0.000,1 ,8
651.991,153.449,-43.215,90.000,14.109,0.000,1 ,8
652.653,153.449,-40.580,90.000,14.109,0.000,1 ,8
653.315,153.450,-37.946,90.000,14.109,0.000,1 ,8
653.626,153.450,-36.706,90.000,14.109,0.000,1 ,8
654.250,153.450,-34.226,90.000,14.109,0.000,1 ,8
654.912,153.450,-31.592,90.000,14.109,0.000,1 ,8
655.535,153.450,-29.112,90.000,14.109,-0.000,1 ,8
655.846,153.450,-27.873,90.000,14.109,-0.000,1 ,8
656.509,153.450,-25.238,90.000,14.109,-0.000,1 ,8
657.132,153.450,-22.759,90.000,14.109,0.000,1 ,8
657.755,153.450,-20.279,90.000,14.109,-0.000,1 ,8
658.066,153.450,-19.039,90.000,14.109,-0.000,1 ,8
658.729,153.450,-16.405,90.000,14.109,0.000,1 ,8
659.352,153.450,-13.925,90.000,14.109,0.000,1 ,8
659.975,153.450,-11.446,90.000,14.109,-0.000,1 ,8
660.286,153.450,-10.206,90.000,14.109,-0.000,1 ,8
660.949,153.451,-7.571,90.000,14.109,0.000,1 ,8
661.572,153.451,-5.092,90.000,14.109,0.000,1 ,8
662.234,153.451,-2.457,90.000,14.109,0.000,1 ,8
662.545,153.451,-1.217,90.000,14.109,0.000,1 ,8
663.169,153.451,1.262,90.000,14.109,0.000,1 ,8
663.792,153.451,3.742,90.000,14.109,0.000,1 ,8
663.927,153.451,5.537,90.000,13.521,0.000,1 ,8
663.094,153.451,5.268,90.000,12.102,0.000,1 ,8
660.012,153.451,2.242,90.000,7.417,0.000,1 ,8
657.050,153.451,-1.421,90.000,2.549,0.000,1 ,8
654.256,153.451,-5.573,90.000,-2.622,0.000,1 ,8
653.073,153.451,-7.610,90.000,-5.056,0.000,1 ,8
650.972,153.451,-11.826,90.000,-9.923,0.000,1 ,8
649.235,153.451,-16.209,90.000,-14.794,0.000,1 ,8
647.803,153.451,-21.016,90.000,-19.977,0.000,1 ,8
647.281,153.451,-23.320,90.000,-22.416,0.000,1 ,8
646.532,153.451,-27.983,90.000,-27.296,0.000,1 ,8
646.183,153.451,-32.694,90.000,-32.176,0.000,1 ,8
646.235,153.451,-37.416,90.000,-37.056,0.000,1 ,8
646.412,153.451,-39.772,90.000,-39.496,0.000,1 ,8
647.120,153.451,-44.740,90.000,-44.680,0.000,1 ,8
648.224,153.451,-49.444,90.000,-49.673,0.000,1 ,8
648.985,153.451,-51.932,90.000,-52.360,-0.000,1 ,8
649.062,153.451,-52.158,90.000,-52.606,-0.000,1 ,8
