666.625,153.449,8.594,90.000,84.851,-0.000
666.611,153.449,8.583,90.000,84.832,-0.000
665.526,153.449,7.677,90.000,83.372,-0.000
662.596,153.449,4.978,90.000,79.254,-0.000
657.748,153.449,-0.500,90.000,71.691,0.000
655.042,153.449,-4.322,90.000,66.850,0.000
652.523,153.449,-8.634,90.000,61.688,0.000
651.468,153.449,-10.750,90.000,59.246,0.000
649.528,153.449,-15.396,90.000,54.045,0.000
646.997,153.449,-24.829,90.000,43.946,0.000
646.637,153.449,-27.171,90.000,41.498,0.000
646.205,153.449,-32.189,90.000,36.295,0.000
646.669,153.449,-41.943,90.000,26.197,0.000
